회사명,직무명,상세정보
스토리앤미디어,신사업전략팀 숏폼 마케팅 신입/경력사원 채용,경력무관대졸↑정규직서울 강남구D-25
㈜신도리코,마케팅 커뮤니케이션 매니저,경력무관학력무관정규직서울 성동구D-25
피엠인터내셔널코리아(유),"물류(출고, SCM, 출고 관리자) 직원 채용",신입·경력1년↑대졸↑정규직인천 중구 외D-25
㈜인라이플,[주4.5일근무] 데이터 분석 및 기획자 채용,경력2년↑학력무관정규직서울 구로구 외D-55
㈜NE능률,[NE능률] 에듀테크기획3팀 서비스기획 경력자 채용,경력7년↑대졸↑정규직서울 마포구D-24
피엠인터내셔널코리아(유),Sales 영업지원 직원 채용,신입·경력대졸↑정규직서울 영등포구D-24
㈜하이브,[HYBE] 총무 (Space Management),경력2년↑대졸↑계약직서울 용산구D-24
㈜카닥,백엔드 개발자 경력 채용,경력2년↑대졸↑정규직서울 강남구D-22
㈜티캐스트,[티캐스트]매체영업 채용 공고,신입·경력7년↑대졸↑정규직 외서울 종로구D-4
㈜휴넷,[휴넷] 차세대 기업교육 플랫폼 백엔드 개발 [정규직/경력],경력2년↑학력무관정규직서울 구로구D-4
㈜쏘카,사업개발 매니저,경력3년↑학력무관정규직서울 성동구D-15
㈜제너시스BBQ,SAP 운영·개발자,경력3년↑대졸↑정규직서울 송파구D-15
아토머스㈜,[멘탈 헬스케어 플랫폼 1위 - 아토머스] UX/UI 디자이너,경력3년↑학력무관정규직서울 강남구D-21
㈜트리플하이엠,[성수오피스] 온라인 퍼포먼스 마케터(AE) 경력 채용,경력2년↑초대졸↑정규직서울 성동구D-18
㈜드림어스컴퍼니,디바이스 어플리케이션(안드로이드) 개발자 채용,경력5년↑학력무관정규직서울 서초구D-16
㈜영원무역,경력/신입 상시 채용,신입·경력학력무관정규직 외서울 중구D-15
㈜트리플하이엠,[가산디지털단지] 퍼포먼스 마케팅AE 경력자 채용,경력2년↑초대졸↑정규직서울 금천구D-14
㈜드림어스컴퍼니,IRIVER 영업 담당자,경력3년↑학력무관정규직서울 서초구D-10
㈜브이씨 (보이스캐디),[코스닥상장사] (주)브이씨 마케팅기획 및 콘텐츠마케팅 담당자 채용,경력3년↑대졸↑정규직서울 강남구D-9
㈜투윈스컴,C# C++ .Net WPF Windows Application 개발자 채용,경력무관학력무관정규직서울 성동구D-39
트리플하이엠,[연구소] 온라인 마케팅 데이터 분석 및 설계 (경력),경력1년↑대졸↑정규직서울 금천구D-9
㈜네오플,[네오플] 게임기획/게임사업/웹 직군 분야별 모집 (PM 포함),신입·경력1년↑학력무관정규직제주 제주시D-7
㈜야놀자,Cloud Solution Strategy Specialist,경력3년↑학력무관정규직서울 강남구D-33
㈜오픈서베이,Data Analyst(경력 7년 이상),경력7년↑대졸↑정규직서울 강남구D-27
㈜쏘카,프로덕트 디자이너(플랫폼),경력6년↑학력무관정규직서울 성동구D-15
옴니시스템㈜,EEM부문 - 영업부문 신입 및 경력 사원 채용,신입·경력초대졸↑정규직서울 성동구상시채용
㈜서부티엔디,[서울드래곤시티] 각 부문별 공개채용,신입·경력학력무관정규직 외서울 용산구D-16
㈜씨앤씨,㈜씨앤씨 분야별 직원 채용,신입·경력고졸↑정규직충북 청주시 외상시채용
㈜더좋은,[대전] 건강코디네이터 채용(약국 내 영양제 상담)안정적 급여와 성과급 보장,경력무관고졸↑정규직대전 서구D-30
한국자산평가㈜,[한국자산평가][마케팅1본부] 경력직원 채용 공고(연장),경력대졸↑정규직서울 종로구D-12
㈜더좋은,[서울] 건강코디네이터 채용(약국 내 영양제 상담)안정적 급여와 성과급 보장,경력무관고졸↑정규직서울 구로구D-29
㈜피앤에쓰,[나인트리 바이 파르나스] 호텔 Revenue Management팀 신입/경력 채용,경력무관초대졸↑정규직 외서울 종로구D-15
㈜시큐레이어,㈜시큐레이어 - 보안솔루션 구축 및 기술지원 인재를 모십니다.,신입·경력학력무관정규직서울 성동구D-28
㈜인라이플,[주4.5일근무] Android Developer 채용,경력4년↑학력무관정규직서울 구로구 외D-28
앨트웰㈜,앨트웰(주) 부산지사 지사장 채용 공고,경력10년↑대졸↑정규직부산 동구D-24
㈜멸치,[업계최고 연봉보장] 멸치앤 펫 SV모집,경력3년↑학력무관정규직 외경기 남양주시상시채용
㈜인라이플,[주4.5일근무] 전략 기획자 채용,경력5년↑학력무관정규직서울 구로구 외D-24
서울대학교,2024년도 하반기 서울대학교 직원 신규채용 공고,신입·경력학력무관정규직서울 관악구 외D-1
삼양식품㈜,삼양식품(주) - 불닭)BXT팀 Short-form Specialist (Content Marketer) 경력직 채용,경력3년↑대졸↑정규직서울 성북구 외D-54
㈜아데코코리아,[정규직 전환 可/경기 하남] 글로벌 중견기업 CSR 채용,경력무관대졸↑계약직경기 하남시 외D-24
삼양식품㈜,삼양식품(주) - IT운영팀 SAP/BW파트(경영계획시스템 운영 및 SAP CO 운영 채용),경력3년↑대졸↑정규직서울 성북구D-21
㈜아데코코리아,[정규직전환可/Max 5천수준/마포] HR(Payroll) 채용,경력2년↑대졸↑계약직서울 마포구 외D-21
㈜오가다,[백억커피] 슈퍼바이저(SV) 경력직 채용,경력1년↑초대졸↑정규직서울 종로구D-4
㈜비바리퍼블리카,"[토스] Sales Operations Specialist (커머스, AMD)",경력무관학력무관계약직서울 강남구상시채용
㈜미미박스,[화장품/뷰티] 글로벌 마케팅 - 경력 (IMC / 인플루언서 / SNS),경력4년↑대졸↑정규직서울 강남구D-41
㈜아데코코리아,[강남/소속전환可/최대4천초반] 업계1위 외국계 Sales admin 채용,경력무관대졸↑계약직서울 강남구 외D-11
㈜시큐레이어,[솔루션영업본부] 솔루션 영업AM 인재를 모십니다.,신입·경력초대졸↑정규직서울 성동구D-10
멸치,[업계 최상위 연봉] 오픈마켓 `멸치쇼핑` MD 채용,경력2년↑학력무관정규직 외서울 송파구상시채용
㈜넥스트씨앤씨,[강남/넥스트씨앤씨] Sales Manager (영업),경력무관학력무관정규직서울 강남구 외상시채용
㈜칸타코리아,[칸타코리아] 월드패널 사업부 경력직 연구원(ad-hoc 조사 경력자 우대),경력3년↑대졸↑정규직서울 영등포구D-8
삼양식품㈜,삼양식품그룹 계열사 삼양로지스틱스(주) - 글로벌지원팀 글로벌지원업무 담당 채용,경력3년↑대졸↑정규직서울 성북구D-37
㈜더좋은,[경기도 분당] 건강코디네이터 채용(약국 내 영양제 상담)안정적 급여와 성과급 보장,경력무관고졸↑정규직경기 성남시D-7
㈜더좋은,[대구 남구] 건강코디네이터 채용(약국 내 영양제 상담)안정적 급여와 성과급 보장,경력무관고졸↑정규직대구 남구D-7
㈜더좋은,[부산] 건강코디네이터 채용(약국 내 영양제 상담)안정적 급여와 성과급 보장,경력무관고졸↑정규직부산 사상구D-7
㈜피알앤디컴퍼니,[ 헤이딜러 ] 기획팀 매니저 (헤이딜러 마켓 판매),경력1년↑학력무관정규직경기 용인시D-4
삼양식품㈜,삼양식품그룹지주사 삼양라운드스퀘어(주) - Business Strategy실 사업기획Group 채용,경력3년↑석사↑정규직서울 성북구D-33
㈜비바리퍼블리카,[토스뱅크] Validation Manager (여신감리),경력3년↑학력무관정규직서울 강남구D-25
㈜비바리퍼블리카,[토스뱅크] 안심보상제 운영 Specialist,경력1년↑학력무관계약직서울 강남구D-23
㈜비바리퍼블리카,[토스뱅크] Risk Manager (리스크 기획),경력3년↑학력무관정규직서울 강남구D-19
㈜비바리퍼블리카,[토스뱅크] Customer Experience Manager (Loan),경력3년↑학력무관정규직서울 강남구D-19
㈜비바리퍼블리카,[토스뱅크] Risk Manager (신용리스크),경력5년↑학력무관정규직서울 강남구D-19
㈜커넥트웨이브,[커넥트웨이브] 다나와 각 부문별 수시채용 (신입/경력),신입·경력학력무관정규직서울 양천구D-15
㈜써머스플랫폼,[커넥트웨이브] 써머스플랫폼(에누리 가격비교) 서비스기획 경력직 채용,경력5년↑초대졸↑정규직서울 금천구D-16
디에프피,㈜디에프피 스펠에디트 2024 하반기 채용공고,신입·경력학력무관정규직서울 강남구 외상시채용
멸치,"[변화를 두려워하지 않는 젊은 리더] 오픈마켓 신사업 기획 본부장,리더급 채용",경력8년↑학력무관정규직 외서울 송파구상시채용
㈜멸치,"[변화를 두려워하지 않는 젊은 리더] 오픈마켓 신사업 본부장,리더급 채용",경력9년↑학력무관정규직 외서울 송파구상시채용
㈜셀트리온,셀트리온 해외영업 주재원 분야 수시채용,경력무관대졸↑정규직인천 연수구D-2
㈜제이니스,㈜제이니스  사업 지원 부문 모집 공고,신입·경력고졸↑정규직서울 성동구D-30
㈜맨파워코리아,[여의도/신입가능] 글로벌 코스메틱 기업 Marketing Intern(6M),신입대졸↑계약직 외서울 영등포구D-30
㈜루미너스파트너,(주)루미너스 여행사 영업지원(기획/마케팅) 정규직 채용,경력초대졸↑정규직서울 중구D-45
㈜노아시스템즈,백엔드 개발자,경력5년↑대졸↑정규직서울 성동구 외D-21
㈜노아시스템즈,리눅스 시스템 프로그래머,경력5년↑대졸↑정규직서울 성동구 외D-21
㈜노아시스템즈,프론트 엔드 개발자,경력5년↑대졸↑정규직서울 성동구 외D-21
주식회사 봉이,[주식회사 봉이] 온라인 판매/유통업 신입/경력사원 채용,경력무관학력무관정규직경북 안동시 외D-15
㈜노아시스템즈,(주)노아시스템즈 백엔드개발자 경력 채용,경력5년↑초대졸↑정규직서울 성동구D-30
㈜노아시스템즈,(주)노아시스템즈 리눅스 시스템 프로그래머 채용,경력5년↑초대졸↑정규직서울 성동구D-30
㈜노아시스템즈,(주)노아시스템즈 프론트 엔드 개발자 채용,경력5년↑대졸↑정규직서울 성동구 외D-30
㈜가인지캠퍼스,가인지캠퍼스 콘텐츠 마케터 모집 (신입/경력),신입·경력대졸↑정규직서울 마포구상시채용
㈜가인지캠퍼스,가인지캠퍼스 퍼포먼스 마케터 모집 (신입/경력),신입·경력대졸↑정규직서울 마포구상시채용
㈜가인지캠퍼스,가인지캠퍼스 바이럴 마케터 모집 (신입/경력),신입·경력3년↑대졸↑정규직서울 마포구상시채용
흥국생명보험,[흥국생명] 개인금융팀 경력직 채용 (대출관리),경력2년↑대졸↑정규직 외서울 종로구D-11
애드민,"[을지로4가/연봉3,500] BC카드 DB 운영 지원 채용",경력학력무관파견직서울 중구 외D-30
신한코리아,신한코리아 UFC sport 영업MD 채용공고,경력4년↑초대졸↑정규직서울 영등포구D-30
㈜야놀자,Strategy Specialist (클라우드 전략),경력3년↑학력무관정규직서울 강남구D-59
㈜콘스탄트,[리필드] 커머스 MD,경력1년↑학력무관정규직서울 마포구D-29
㈜에이아이스페라,AI Spera [석사병역특례] 개발자 / 엔지니어 부문별 채용,신입석사↑병역특례서울 성동구D-58
주차장만드는사람들㈜,[스타트업] 주차 공유 고객 센터 CS / 영업 담당 채용,경력무관학력무관정규직 외서울 영등포구D-29
주차장만드는사람들㈜,[주차공유 스타트업] 마케팅 팀 온오프라인 마케터 신입 및 경력 모집,신입·경력1년↑학력무관계약직 외서울 영등포구D-29
이큐브랩,기획/전략(Think Tank) (경력 무관),경력무관학력무관정규직서울 구로구 외D-59
이큐브랩,경영기획팀 CEO STAFF 정규직(경력무관),경력무관대졸↑정규직서울 구로구 외D-59
이큐브랩,Business Analyst (경력무관),경력무관대졸↑정규직서울 구로구D-59
삼성화재금융서비스,삼성화재금융서비스 마케팅&제도운영기획담당자 모집,경력학력무관정규직서울 중구D-29
히어(HEHR),히어(hehr) 여성의류 온라인 MD 경력직 채용,경력5년↑초대졸↑정규직서울 성동구D-29
㈜올가니카,[올가니카] 식품개발 경력직 채용,경력10년↑대졸↑정규직서울 용산구D-29
인피솔 (INFISOL),"2024년 하반기 상품기획 MD, 상품유통 MD 공개채용",경력1년↑학력무관정규직서울 강동구 외상시채용
삼성생명보험㈜서초사옥,[Samsung Financial Networks]기업보험시장은 블루오션 - 기업경영컨설팅 준 전문가 GFC모집,신입·경력3년↑학력무관프리랜서서울 서초구 외D-15
㈜크레디트라인,"금융권SM 운영업무 캐피탈, 보험사",경력6년↑학력무관프리랜서서울 영등포구D-29
쿠팡풀필먼트서비스 유한회사,[CFS] 인천 중구 쿠팡 현장관리자 정규직 채용(인천 14센터),경력무관학력무관정규직인천 중구D-59
㈜팸글로벌,㈜팸글로벌 아마존 온라인 이커머스 운영 리더 채용,신입·경력1년↑대졸↑정규직경기 고양시D-58
브랜즈컴퍼니㈜,"[브랜즈컴퍼니. 하반기 공채] 전자/생활 신상품 기획, 인증 경력직 (중국어, 영어 가능자 우대)",경력3년↑학력무관정규직서울 강서구D-28
㈜제이앤우,[홈랩] 기절베개  방송영업MD / 경력직 채용,경력학력무관정규직서울 성동구D-28
㈜우성정보기술,2025년 경찰청 정보시스템 통합유지관리 사업(충정로),경력7년↑학력무관계약직서울 서대문구D-28
주식회사 애드,애드(addd) 소프트웨어 개발자 채용,경력초대졸↑정규직 외서울 강남구D-28
아시아마스터트레이드㈜,[AXIS-Y/엑시스와이] 글로벌 뷰티기업 / 재무팀 경력직 채용,경력3년↑대졸↑정규직서울 강남구D-58
㈜안앤락,(주)안앤락 시니어플랫폼 운영 팀장 모집,경력5년↑초대졸↑정규직서울 서초구D-28
㈜오투플러스,기획 / 개발 / 데이터분석(AI) / 서비스운영 채용,경력무관고졸↑정규직경기 성남시 외D-58
㈜맨파워코리아,[여의도/신입가능] 럭셔리 코스메틱 기업 Marketing Intern(6M),신입대졸↑계약직 외서울 영등포구D-28
㈜에스온시스템,DA/DBA 채용 공고,경력무관학력무관정규직서울 마포구D-9
㈜우리가앤,MD/운영/관리/기획,경력3년↑학력무관정규직서울 서초구D-28
㈜브릭,증권사 SM 모집,경력5년↑학력무관정규직 외서울 영등포구D-28
BARREL [배럴],[BARREL] 고객만족센터(CS/AS팀) 채용,경력무관학력무관정규직서울 용산구D-23
㈜위비스,여성복 브랜드 지센 구매팀 (원자재 소싱) 채용,신입·경력1년↑대졸↑정규직서울 성동구D-58
어썸이엔티,(주)어썸이엔티 (awesome.ent) 홍보실 언론홍보 신입/경력사원 채용공고,신입·경력1년↑초대졸↑정규직서울 성동구D-28
오래온라이프사이언스,[메디컬에스테틱] 글로벌 이커머스 세일즈&마케팅 담당자 채용,경력초대졸↑정규직서울 송파구D-28
주식회사 일현코퍼레이션,[반려동물 전문기업 닥터독] 브랜드마케터 직원 모집,경력5년↑학력무관정규직서울 성동구D-29
BARREL [배럴],[BARREL] 이커머스팀 온라인 MD 채용,경력3년↑학력무관정규직서울 용산구D-23
BARREL [배럴],[BARREL] 해외사업팀 채용,경력무관초대졸↑정규직서울 용산구D-23
㈜DS단석 군산2공장,디에스단석 군산2공장 품질보증팀 채용,신입·경력7년↑대졸↑정규직전북 군산시D-28
㈜크레디트라인,금융권IT-캐피탈차세대 시스템구축,경력6년↑학력무관프리랜서서울 영등포구D-58
㈜맨파워코리아,[여의도/신입가능] 글로벌 코스메틱 기업 Sales Intern(6M),신입대졸↑계약직 외서울 영등포구D-28
㈜준홀딩스,"쿨링/진정 코스메틱, 멘톨로지 온라인MD 및 마케터 모집",신입·경력학력무관정규직 외서울 중구D-28
㈜케이앤씨퓨처스,[K 푸드전문기업] 신사업 인원채용 / 온라인MD,경력3년↑학력무관정규직서울 성동구D-28
럭셔리하우스앤퍼스트빌딩부동산중개법인㈜,럭셔리앤하우스부동산중개법인(주) 고급주거&건물 방배본점 신입 & 경력직 채용,경력무관학력무관정규직서울 서초구D-28
㈜한국정보기술단,데이터표준품질부문 경력채용 (정규직),경력3년↑대졸↑정규직서울 서초구D-28
㈜휴먼웍스,게임 운영 및 기획자 채용 공고,경력무관학력무관정규직서울 강남구D-4
주식회사 애드,애드(addd) 제품서비스 전문 기획자 채용,경력학력무관정규직 외서울 강남구D-25
수도권생태유아공동체소비자생활협동조합,"(노량진 본사 이전) [정규직] 생협 단체급식(어린이집,유치원) 물류 관리 부장급 모집",경력3년↑학력무관정규직서울 동작구 외D-55
로픈,로픈 종합몰 오픈마켓 스마트스토어 및 쿠팡 자사몰  운영 경력자모집(추가충원),경력5년↑학력무관정규직서울 성동구D-13
㈜브릭,증권사 SI 모집,경력5년↑학력무관정규직 외서울 영등포구D-25
㈜크레디트라인,"금융권 프로젝트 IT개발자 (pro-c,proframe)",경력6년↑학력무관프리랜서서울 영등포구D-55
㈜커뮤니케이션앤컬쳐,[명동역도보 1분/팀장급 연봉 최대 1.5배] 상품기획/마케팅/경영지원 각 부문 채용,경력초대졸↑정규직 외서울 중구 외D-25
㈜커넥트웨이브,커넥트웨이브 플레이오토 각 부문별 인재 모집,신입·경력학력무관정규직서울 금천구상시채용
㈜청년히어로,"[청년고기장수] 프랜차이즈 마케팅팀 인재 모집(차장,부장)",경력6년↑초대졸↑정규직서울 성북구D-55
케이엔큐레이션㈜,[스타트앱] 앱/웹 개발리더 채용(경력 5년 이상),경력5년↑대졸↑정규직서울 성동구D-25
럭셔리앤하우스 부동산중개㈜ 성수점,럭셔리앤하우스부동산중개(주) 대한민국 고급주거 중개 No1 방배동 본점 채용,경력무관고졸↑정규직서울 서초구상시채용
㈜풀링포레스트,Full Stack Developer 신입/경력,신입·경력학력무관정규직서울 강남구D-25
㈜더앤트,웹툰제작사 [앤트스튜디오] 24년 하반기 각 분야 채용,신입·경력학력무관정규직서울 성동구 외D-22
더올린 주식회사,패션 & 반려동물 상품 온라인 몰 MD 경력직 채용,경력2년↑초대졸↑정규직서울 성동구D-24
㈜아트정보기술,대법원 차세대전자소송 프로젝 - JAVA 개발자 모집,경력5년↑초대졸↑정규직 외경기 성남시D-2
㈜게임엔,게임 운영 및 기획자 채용 공고,신입·경력학력무관정규직서울 강남구D-1
퍼솔켈리코리아 유한회사,[경기화성/전환可] ITS 포지션 (일본어/신입가능),경력무관대졸↑계약직 외경기 화성시 외D-55
㈜비티원,[해운 수출입 업무] JAVA 개발자 모집,경력5년↑학력무관프리랜서서울 성동구 외D-25
(유)엠데일,디지털 마케팅 부문 채용 과장/차장,경력2년↑대졸↑정규직서울 용산구D-25
㈜드림시큐리티,인증보안 서비스 운영을 위한 인재를 모집합니다 .,경력10년↑초대졸↑정규직서울 성동구D-48
오-시에나,스마트스토어 -마케팅 담당자,경력무관학력무관계약직서울 성동구D-24
아르조코리아㈜,"스웨덴 의료기기 기업, RAQA 담당 (주 2일 근무 part time) 채용",경력대졸↑정규직서울 용산구D-54
강원전자㈜,무역.온라인MD 신입/경력 채용,신입·경력2년↑학력무관정규직서울 용산구 외D-4
㈜오리엔트리조트,오리엔트리조트 서울본사 관리팀 신입/경력 직원 채용,경력1년↑학력무관정규직서울 성동구 외D-25
㈜에프앤엘코퍼레이션,브랜드 마케팅 리드,경력5년↑학력무관정규직서울 영등포구D-24
포스켄㈜,KB손해보험 영업지원파트 운영으로 채용 합니다,경력3년↑학력무관프리랜서서울 강남구 외오늘마감
씨엠티정보통신㈜,"정보시스템 침해대응 및 보안분석(CERT) 채용 (대전, 둔산동)",경력3년↑초대졸↑정규직대전 서구D-22
㈜야다,[Global Marketer Job/Foreigners can apply] 글로벌 마케터 채용(외국인 채용 가능/러시아어/영어),경력무관학력무관정규직서울 성동구D-24
㈜비즈스프링,데이터 엔지니어 채용,경력3년↑학력무관정규직서울 성동구D-24
㈜한창이지엠,㈜한창이지엠 각 부문별 신입 및 경력직 채용,신입·경력3년↑학력무관정규직충남 천안시D-1
㈜온라이브플러스,마케팅 대행업 직원 채용,경력1년↑초대졸↑정규직 외서울 강남구D-24
주식회사 공존공간,(주)공존공간 (신입/경력) 상권기획자 / 문화기획자 채용 공고,경력무관학력무관정규직 외경기 수원시D-24
미코바이오메드,해외 영업관리 담당자 채용,경력5년↑대졸↑정규직경기 성남시D-24
㈜라부티크블루,LBB 코스메틱 마케팅 담당 모집합니다.,경력무관학력무관정규직서울 용산구D-54
㈜펀진,"실무 PM 채용 - 국방, AI 기반 프로젝트 멀티수행 [정규직 O : 파견X, 프리X]",경력7년↑대졸↑정규직서울 성동구D-54
㈜에이엔피개발,현장관리 / 공정별 데이터 관리자,신입·경력학력무관정규직인천 남동구D-24
㈜에스앤피코스메틱,"[손앤박] 온라인(자사몰) 판매, 영업 총괄 팀장급 채용 (성수 / 점심시간2h)",경력5년↑대졸↑정규직서울 성동구D-24
㈜보이러코리아,보이러코리아 이커머스/온라인 영업 및 마케팅 전문가를 모십니다.,경력5년↑학력무관정규직서울 성동구D-23
